"lat"	"lon"	"elevation"	"timestamps"
65.4339106567204	-19.6824579499662	408.77	2023-03-24 09:36:50
65.4339140094817	-19.6822054870427	407.55	2023-03-24 09:37:05
65.4339741915464	-19.6817088592798	404.73	2023-03-24 09:37:26
65.4340451024473	-19.6814513672143	404.53	2023-03-24 09:37:41
65.4341010935605	-19.6813548076898	404.43	2023-03-24 09:37:56
65.434181727469	-19.6811417397112	405.36	2023-03-24 09:38:14
65.4342603497207	-19.6808800566941	406.65	2023-03-24 09:38:34
65.4343258962035	-19.6805964969099	406.98	2023-03-24 09:38:51
65.4344062786549	-19.680435564369	406.98	2023-03-24 09:39:05
65.4345260560513	-19.6802225802094	408.75	2023-03-24 09:39:24
65.4345769342035	-19.6799432113767	409.49	2023-03-24 09:39:40
65.4346269741654	-19.679751098156	410.29	2023-03-24 09:39:54
65.4346842225641	-19.6795539557934	410.62	2023-03-24 09:40:10
65.4347467515618	-19.6793987229466	411.16	2023-03-24 09:40:26
65.4348120465875	-19.6792398858815	413.42	2023-03-24 09:40:43
65.4348665289581	-19.6790637820959	413.97	2023-03-24 09:41:00
65.4348739050329	-19.6789010893553	415.79	2023-03-24 09:41:15
65.4349348414689	-19.6787106525153	417.27	2023-03-24 09:41:31
65.4349874798208	-19.678493142128	421.01	2023-03-24 09:41:48
65.4350279644132	-19.6781751327217	422.89	2023-03-24 09:42:10
65.4350563790649	-19.677924849093	425.31	2023-03-24 09:42:26
65.4351240210235	-19.6778266970068	425.16	2023-03-24 09:42:42
65.4351749829948	-19.6777772437781	423.95	2023-03-24 09:43:00
65.4352541081607	-19.6777802612633	424.8	2023-03-24 09:43:13
65.4352896474302	-19.6777614019811	425.12	2023-03-24 09:43:20
65.4354147892445	-19.6777385193855	421.23	2023-03-24 09:43:37
65.4354210756719	-19.6777386032045	424.54	2023-03-24 09:43:38
65.4354327265173	-19.6777412015945	428.2	2023-03-24 09:43:39
65.4354421980679	-19.6777437161654	425.8	2023-03-24 09:43:40
